,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,dot,four,six,wides,noBalls,match_id
0,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0,T20I # 1823
1,Namibia Vs Sri Lanka,Sri Lanka,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0,T20I # 1823
2,Namibia Vs Sri Lanka,Sri Lanka,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,T20I # 1823
3,Namibia Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0,T20I # 1823
4,Namibia Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0,T20I # 1823
5,Namibia Vs Sri Lanka,Namibia,Gerhard Erasmus,1,0,8,0,8.00,1,1,0,0,0,T20I # 1823
6,Namibia Vs Sri Lanka,Namibia,David Wiese,4,0,16,2,4.00,13,1,0,0,0,T20I # 1823
7,Namibia Vs Sri Lanka,Namibia,Bernard Scholtz,4,0,18,2,4.50,10,1,0,0,0,T20I # 1823
8,Namibia Vs Sri Lanka,Namibia,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0,T20I # 1823
9,Namibia Vs Sri Lanka,Namibia,JJ Smit,3,0,16,1,5.33,7,0,0,1,0,T20I # 1823
10,Namibia Vs Sri Lanka,Namibia,Jan Frylinck,4,0,26,2,6.50,10,0,2,1,0,T20I # 1823
11,U.A.E. Vs Netherlands,Netherlands,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0,T20I # 1825
12,U.A.E. Vs Netherlands,Netherlands,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0,T20I # 1825
13,U.A.E. Vs Netherlands,Netherlands,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0,T20I # 1825
14,U.A.E. Vs Netherlands,Netherlands,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0,T20I # 1825
15,U.A.E. Vs Netherlands,Netherlands,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0,T20I # 1825
16,U.A.E. Vs Netherlands,Netherlands,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0,T20I # 1825
17,U.A.E. Vs Netherlands,U.A.E.,Junaid Siddique,4,0,24,3,6.00,10,2,0,1,0,T20I # 1825
18,U.A.E. Vs Netherlands,U.A.E.,Basil Hameed,1,0,7,1,7.00,4,0,1,0,0,T20I # 1825
19,U.A.E. Vs Netherlands,U.A.E.,Aayan Afzal Khan,3,0,15,1,5.00,8,1,0,0,0,T20I # 1825
20,U.A.E. Vs Netherlands,U.A.E.,Karthik Meiyappan,4,0,22,1,5.50,11,2,0,0,0,T20I # 1825
21,U.A.E. Vs Netherlands,U.A.E.,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,T20I # 1825
22,U.A.E. Vs Netherlands,U.A.E.,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0,T20I # 1825
23,U.A.E. Vs Netherlands,U.A.E.,Kashif Daud,1,0,5,0,5.00,1,0,0,0,0,T20I # 1825
24,Scotland Vs West Indies,West Indies,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0,T20I # 1826
25,Scotland Vs West Indies,West Indies,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,T20I # 1826
26,Scotland Vs West Indies,West Indies,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0,T20I # 1826
27,Scotland Vs West Indies,West Indies,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0,T20I # 1826
28,Scotland Vs West Indies,West Indies,Jason Holder,3,0,14,2,4.66,8,1,0,0,0,T20I # 1826
29,Scotland Vs West Indies,West Indies,Odean Smith,4,0,31,1,7.75,6,3,0,1,0,T20I # 1826
30,Scotland Vs West Indies,Scotland,Mark Watt,4,0,12,3,3.00,16,1,0,1,0,T20I # 1826
31,Scotland Vs West Indies,Scotland,Brad Wheal,4,0,32,2,8.00,10,4,1,0,0,T20I # 1826
32,Scotland Vs West Indies,Scotland,Josh Davey,3,0,34,1,11.33,8,4,2,1,0,T20I # 1826
33,Scotland Vs West Indies,Scotland,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,T20I # 1826
34,Scotland Vs West Indies,Scotland,Michael Leask,4,0,15,2,3.75,11,0,0,1,0,T20I # 1826
35,Zimbabwe Vs Ireland,Ireland,Josh Little,4,0,24,3,6.00,11,3,0,0,0,T20I # 1828
36,Zimbabwe Vs Ireland,Ireland,Mark Adair,4,0,39,2,9.75,6,3,1,2,0,T20I # 1828
37,Zimbabwe Vs Ireland,Ireland,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0,T20I # 1828
38,Zimbabwe Vs Ireland,Ireland,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0,T20I # 1828
39,Zimbabwe Vs Ireland,Ireland,Simi Singh,3,0,31,2,10.33,5,2,2,1,0,T20I # 1828
40,Zimbabwe Vs Ireland,Ireland,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0,T20I # 1828
41,Zimbabwe Vs Ireland,Zimbabwe,Richard Ngarava,4,0,22,2,5.50,13,3,0,0,0,T20I # 1828
42,Zimbabwe Vs Ireland,Zimbabwe,Tendai Chatara,4,0,22,2,5.50,13,1,1,2,0,T20I # 1828
43,Zimbabwe Vs Ireland,Zimbabwe,Blessing Muzarabani,4,0,23,3,5.75,14,0,2,0,1,T20I # 1828
44,Zimbabwe Vs Ireland,Zimbabwe,Luke Jongwe,2,0,24,0,12.00,1,4,0,0,0,T20I # 1828
45,Zimbabwe Vs Ireland,Zimbabwe,Sean Williams,3,0,20,1,6.66,3,0,0,0,0,T20I # 1828
46,Zimbabwe Vs Ireland,Zimbabwe,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0,T20I # 1828
47,Namibia Vs Netherlands,Netherlands,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0,T20I # 1830
48,Namibia Vs Netherlands,Netherlands,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0,T20I # 1830
49,Namibia Vs Netherlands,Netherlands,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0,T20I # 1830
50,Namibia Vs Netherlands,Netherlands,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0,T20I # 1830
51,Namibia Vs Netherlands,Netherlands,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0,T20I # 1830
52,Namibia Vs Netherlands,Netherlands,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0,T20I # 1830
53,Namibia Vs Netherlands,Netherlands,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0,T20I # 1830
54,Namibia Vs Netherlands,Namibia,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0,T20I # 1830
55,Namibia Vs Netherlands,Namibia,David Wiese,2.3,0,22,0,8.80,4,3,0,0,0,T20I # 1830
56,Namibia Vs Netherlands,Namibia,Gerhard Erasmus,3,0,13,0,4.33,8,0,0,1,0,T20I # 1830
57,Namibia Vs Netherlands,Namibia,Ben Shikongo,1,0,18,0,18.00,1,0,2,1,0,T20I # 1830
58,Namibia Vs Netherlands,Namibia,JJ Smit,4,0,24,2,6.00,9,2,0,0,0,T20I # 1830
59,Namibia Vs Netherlands,Namibia,Jan Frylinck,4,1,16,1,4.00,11,1,0,0,0,T20I # 1830
60,Namibia Vs Netherlands,Namibia,Jan Nicol Loftie-Eaton,1,0,8,0,8.00,2,1,0,0,1,T20I # 1830
61,Sri Lanka Vs U.A.E.,U.A.E.,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0,T20I # 1832
62,Sri Lanka Vs U.A.E.,U.A.E.,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0,T20I # 1832
63,Sri Lanka Vs U.A.E.,U.A.E.,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0,T20I # 1832
64,Sri Lanka Vs U.A.E.,U.A.E.,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0,T20I # 1832
65,Sri Lanka Vs U.A.E.,U.A.E.,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0,T20I # 1832
66,Sri Lanka Vs U.A.E.,U.A.E.,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,T20I # 1832
67,Sri Lanka Vs U.A.E.,U.A.E.,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0,T20I # 1832
68,Sri Lanka Vs U.A.E.,Sri Lanka,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0,T20I # 1832
69,Sri Lanka Vs U.A.E.,Sri Lanka,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0,T20I # 1832
70,Sri Lanka Vs U.A.E.,Sri Lanka,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0,T20I # 1832
71,Sri Lanka Vs U.A.E.,Sri Lanka,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0,T20I # 1832
72,Sri Lanka Vs U.A.E.,Sri Lanka,Wanindu Hasaranga de Silva,4,1,8,3,2.00,17,0,0,0,0,T20I # 1832
73,Sri Lanka Vs U.A.E.,Sri Lanka,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0,T20I # 1832
74,Scotland Vs Ireland,Ireland,Josh Little,4,0,30,1,7.50,10,2,1,1,0,T20I # 1833
75,Scotland Vs Ireland,Ireland,Mark Adair,4,0,23,1,5.75,12,2,0,2,0,T20I # 1833
76,Scotland Vs Ireland,Ireland,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1,T20I # 1833
77,Scotland Vs Ireland,Ireland,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0,T20I # 1833
78,Scotland Vs Ireland,Ireland,Simi Singh,2,0,16,0,8.00,2,2,0,0,0,T20I # 1833
79,Scotland Vs Ireland,Ireland,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0,T20I # 1833
80,Scotland Vs Ireland,Ireland,George Dockrell,1,0,9,0,9.00,1,1,0,0,0,T20I # 1833
81,Scotland Vs Ireland,Scotland,Mark Watt,4,0,39,1,9.75,10,2,1,2,0,T20I # 1833
82,Scotland Vs Ireland,Scotland,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,T20I # 1833
83,Scotland Vs Ireland,Scotland,Josh Davey,4,0,46,0,11.50,5,8,0,1,0,T20I # 1833
84,Scotland Vs Ireland,Scotland,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0,T20I # 1833
85,Scotland Vs Ireland,Scotland,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0,T20I # 1833
86,Scotland Vs Ireland,Scotland,Michael Leask,2,0,16,1,8.00,2,1,0,0,0,T20I # 1833
87,West Indies Vs Zimbabwe,Zimbabwe,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0,T20I # 1834
88,West Indies Vs Zimbabwe,Zimbabwe,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0,T20I # 1834
89,West Indies Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1,T20I # 1834
90,West Indies Vs Zimbabwe,Zimbabwe,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0,T20I # 1834
91,West Indies Vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0,T20I # 1834
92,West Indies Vs Zimbabwe,Zimbabwe,Sean Williams,3,0,17,1,5.66,7,1,0,0,1,T20I # 1834
93,West Indies Vs Zimbabwe,West Indies,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0,T20I # 1834
94,West Indies Vs Zimbabwe,West Indies,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1,T20I # 1834
95,West Indies Vs Zimbabwe,West Indies,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0,T20I # 1834
96,West Indies Vs Zimbabwe,West Indies,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0,T20I # 1834
97,West Indies Vs Zimbabwe,West Indies,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0,T20I # 1834
98,West Indies Vs Zimbabwe,West Indies,Odean Smith,3,0,31,1,10.33,8,4,1,1,1,T20I # 1834
99,Sri Lanka Vs Netherlands,Netherlands,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0,T20I # 1835
100,Sri Lanka Vs Netherlands,Netherlands,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0,T20I # 1835
101,Sri Lanka Vs Netherlands,Netherlands,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0,T20I # 1835
102,Sri Lanka Vs Netherlands,Netherlands,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0,T20I # 1835
103,Sri Lanka Vs Netherlands,Netherlands,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0,T20I # 1835
104,Sri Lanka Vs Netherlands,Netherlands,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0,T20I # 1835
105,Sri Lanka Vs Netherlands,Sri Lanka,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0,T20I # 1835
106,Sri Lanka Vs Netherlands,Sri Lanka,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0,T20I # 1835
107,Sri Lanka Vs Netherlands,Sri Lanka,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0,T20I # 1835
108,Sri Lanka Vs Netherlands,Sri Lanka,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1,T20I # 1835
109,Sri Lanka Vs Netherlands,Sri Lanka,Wanindu Hasaranga de Silva,4,0,28,3,7.00,11,3,0,0,0,T20I # 1835
110,Sri Lanka Vs Netherlands,Sri Lanka,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0,T20I # 1835
111,Sri Lanka Vs Netherlands,Sri Lanka,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0,T20I # 1835
112,U.A.E. Vs Namibia,Namibia,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0,T20I # 1836
113,U.A.E. Vs Namibia,Namibia,David Wiese,4,0,27,1,6.75,12,2,1,1,0,T20I # 1836
114,U.A.E. Vs Namibia,Namibia,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0,T20I # 1836
115,U.A.E. Vs Namibia,Namibia,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,T20I # 1836
116,U.A.E. Vs Namibia,Namibia,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0,T20I # 1836
117,U.A.E. Vs Namibia,Namibia,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0,T20I # 1836
118,U.A.E. Vs Namibia,U.A.E.,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0,T20I # 1836
119,U.A.E. Vs Namibia,U.A.E.,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0,T20I # 1836
120,U.A.E. Vs Namibia,U.A.E.,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2,T20I # 1836
121,U.A.E. Vs Namibia,U.A.E.,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0,T20I # 1836
122,U.A.E. Vs Namibia,U.A.E.,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0,T20I # 1836
123,U.A.E. Vs Namibia,U.A.E.,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0,T20I # 1836
124,U.A.E. Vs Namibia,U.A.E.,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0,T20I # 1836
125,West Indies Vs Ireland,Ireland,Josh Little,4,0,31,0,7.75,8,1,2,1,0,T20I # 1837
126,West Indies Vs Ireland,Ireland,Mark Adair,4,0,26,0,6.50,12,1,1,4,0,T20I # 1837
127,West Indies Vs Ireland,Ireland,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0,T20I # 1837
128,West Indies Vs Ireland,Ireland,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0,T20I # 1837
129,West Indies Vs Ireland,Ireland,Simi Singh,2,0,11,1,5.50,4,1,0,0,0,T20I # 1837
130,West Indies Vs Ireland,Ireland,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0,T20I # 1837
131,West Indies Vs Ireland,West Indies,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,T20I # 1837
132,West Indies Vs Ireland,West Indies,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,T20I # 1837
133,West Indies Vs Ireland,West Indies,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,T20I # 1837
134,West Indies Vs Ireland,West Indies,Odean Smith,2,0,23,0,11.50,4,3,1,0,1,T20I # 1837
135,West Indies Vs Ireland,West Indies,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,T20I # 1837
136,Scotland Vs Zimbabwe,Zimbabwe,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0,T20I # 1838
137,Scotland Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1,T20I # 1838
138,Scotland Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2,T20I # 1838
139,Scotland Vs Zimbabwe,Zimbabwe,Sean Williams,3,0,19,0,6.33,4,1,0,0,0,T20I # 1838
140,Scotland Vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0,T20I # 1838
141,Scotland Vs Zimbabwe,Zimbabwe,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0,T20I # 1838
142,Scotland Vs Zimbabwe,Scotland,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0,T20I # 1838
143,Scotland Vs Zimbabwe,Scotland,Josh Davey,3,0,16,2,5.33,8,1,0,0,1,T20I # 1838
144,Scotland Vs Zimbabwe,Scotland,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1,T20I # 1838
145,Scotland Vs Zimbabwe,Scotland,Mark Watt,4,0,19,1,4.75,9,1,0,0,0,T20I # 1838
146,Scotland Vs Zimbabwe,Scotland,Michael Leask,4,0,36,1,9.00,4,2,1,0,0,T20I # 1838
147,Scotland Vs Zimbabwe,Scotland,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0,T20I # 1838
148,New Zealand Vs Australia,Australia,Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0,T20I # 1839
149,New Zealand Vs Australia,Australia,Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0,T20I # 1839
150,New Zealand Vs Australia,Australia,Pat Cummins,4,0,46,0,11.50,8,4,2,2,0,T20I # 1839
151,New Zealand Vs Australia,Australia,Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0,T20I # 1839
152,New Zealand Vs Australia,Australia,Adam Zampa,4,0,39,1,9.75,4,2,2,1,0,T20I # 1839
153,New Zealand Vs Australia,New Zealand,Trent Boult,4,0,24,2,6.00,13,2,1,1,0,T20I # 1839
154,New Zealand Vs Australia,New Zealand,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,T20I # 1839
155,New Zealand Vs Australia,New Zealand,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,T20I # 1839
156,New Zealand Vs Australia,New Zealand,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,T20I # 1839
157,New Zealand Vs Australia,New Zealand,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,T20I # 1839
158,Afghanistan Vs England,England,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0,T20I # 1840
159,Afghanistan Vs England,England,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0,T20I # 1840
160,Afghanistan Vs England,England,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,T20I # 1840
161,Afghanistan Vs England,England,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,T20I # 1840
162,Afghanistan Vs England,England,Adil Rashid,4,0,32,0,8.00,4,1,1,0,0,T20I # 1840
163,Afghanistan Vs England,Afghanistan,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,T20I # 1840
164,Afghanistan Vs England,Afghanistan,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,T20I # 1840
165,Afghanistan Vs England,Afghanistan,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,T20I # 1840
166,Afghanistan Vs England,Afghanistan,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,T20I # 1840
167,Afghanistan Vs England,Afghanistan,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,T20I # 1840
